
 a1 =  -0.000000000   5.340376980   5.340376980
 a2 =   5.340376980   0.000000000   5.340376980
 a3 =   5.340376980   5.340376980   0.000000000

 b1 =  -0.588271702   0.588271702   0.588271702
 b2 =   0.588271702  -0.588271702   0.588271702
 b3 =   0.588271702   0.588271702  -0.588271702

 volume = 304.611111419

 cutoff = 10.000000000

 grid = ( 7 7 7 ) -- minimal
        ( 7 7 7 ) -- factors 2, 3, 5, 7, 1*11, 1*13
        ( 8 8 8 ) -- factors 2, 3, 5

 Max G-vector indices : 3 3 3
 k-point = ( 0.000000000 0.000000000 0.000000000 )
 ng = 169

     n    g1    g2    g3     gx        gy        gz        ekin
    94     0     1     3     2.353     1.177    -1.177     8.305526280
    95     0     2    -1     0.588    -1.765     1.765     6.575208305
    96     0     2     0     1.177    -1.177     1.177     4.152763140
    97     0     2     1     1.765    -0.588     0.588     3.806699545
    98     0     2     2     2.353     0.000     0.000     5.537017520
    99     0     2     3     2.941     0.588    -0.588     9.343717065
   100     0     3     0     1.765    -1.765     1.765     9.343717065
   101     0     3     1     2.353    -1.177     1.177     8.305526280
   102     0     3     2     2.941    -0.588     0.588     9.343717065
   103     1    -2    -2    -2.941     0.588     0.588     9.343717065
   104     1    -2    -1    -2.353     1.177     0.000     6.921271900
   105     1    -2     0    -1.765     1.765    -0.588     6.575208305
   106     1    -2     1    -1.177     2.353    -1.177     8.305526280
   107     1    -1    -2    -2.353     0.000     1.177     6.921271900
   108     1    -1    -1    -1.765     0.588     0.588     3.806699545
   109     1    -1     0    -1.177     1.177     0.000     2.768508760
   110     1    -1     1    -0.588     1.765    -0.588     3.806699545
   111     1    -1     2     0.000     2.353    -1.177     6.921271900
   112     1     0    -2    -1.765    -0.588     1.765     6.575208305
   113     1     0    -1    -1.177     0.000     1.177     2.768508760
   114     1     0     0    -0.588     0.588     0.588     1.038190785
   115     1     0     1     0.000     1.177     0.000     1.384254380
   116     1     0     2     0.588     1.765    -0.588     3.806699545
   117     1     0     3     1.177     2.353    -1.177     8.305526280
   118     1     1    -2    -1.177    -1.177     2.353     8.305526280
   119     1     1    -1    -0.588    -0.588     1.765     3.806699545
   120     1     1     0     0.000     0.000     1.177     1.384254380
   121     1     1     1     0.588     0.588     0.588     1.038190785
   122     1     1     2     1.177     1.177     0.000     2.768508760
   123     1     1     3     1.765     1.765    -0.588     6.575208305
   124     1     2    -1     0.000    -1.177     2.353     6.921271900
   125     1     2     0     0.588    -0.588     1.765     3.806699545
   126     1     2     1     1.177     0.000     1.177     2.768508760
   127     1     2     2     1.765     0.588     0.588     3.806699545
   128     1     2     3     2.353     1.177     0.000     6.921271900
   129     1     3     0     1.177    -1.177     2.353     8.305526280
   130     1     3     1     1.765    -0.588     1.765     6.575208305
   131     1     3     2     2.353    -0.000     1.177     6.921271900
   132     1     3     3     2.941     0.588     0.588     9.343717065
   133     2    -1    -1    -2.353     1.177     1.177     8.305526280
   134     2    -1     0    -1.765     1.765     0.588     6.575208305
   135     2    -1     1    -1.177     2.353     0.000     6.921271900
   136     2    -1     2    -0.588     2.941    -0.588     9.343717065
   137     2     0    -1    -1.765     0.588     1.765     6.575208305
   138     2     0     0    -1.177     1.177     1.177     4.152763140
   139     2     0     1    -0.588     1.765     0.588     3.806699545
   140     2     0     2     0.000     2.353     0.000     5.537017520
   141     2     0     3     0.588     2.941    -0.588     9.343717065
   142     2     1    -1    -1.177     0.000     2.353     6.921271900
   143     2     1     0    -0.588     0.588     1.765     3.806699545
   144     2     1     1     0.000     1.177     1.177     2.768508760
   145     2     1     2     0.588     1.765     0.588     3.806699545
   146     2     1     3     1.177     2.353     0.000     6.921271900
   147     2     2    -1    -0.588    -0.588     2.941     9.343717065
   148     2     2     0     0.000     0.000     2.353     5.537017520
   149     2     2     1     0.588     0.588     1.765     3.806699545
   150     2     2     2     1.177     1.177     1.177     4.152763140
   151     2     2     3     1.765     1.765     0.588     6.575208305
